Date;Time;Eur/MWh
07.03.2026;00:00 - 00:15;148,66
07.03.2026;00:15 - 00:30;144,11
07.03.2026;00:30 - 00:45;140,94
07.03.2026;00:45 - 01:00;138,27
07.03.2026;01:00 - 01:15;146
07.03.2026;01:15 - 01:30;140,93
07.03.2026;01:30 - 01:45;134,93
07.03.2026;01:45 - 02:00;130,94
07.03.2026;02:00 - 02:15;137,72
07.03.2026;02:15 - 02:30;132,59
07.03.2026;02:30 - 02:45;131,98
07.03.2026;02:45 - 03:00;130,99
07.03.2026;03:00 - 03:15;135,18
07.03.2026;03:15 - 03:30;133,41
07.03.2026;03:30 - 03:45;131,87
07.03.2026;03:45 - 04:00;131,96
07.03.2026;04:00 - 04:15;131,94
07.03.2026;04:15 - 04:30;133,24
07.03.2026;04:30 - 04:45;133,65
07.03.2026;04:45 - 05:00;136,89
07.03.2026;05:00 - 05:15;133,8
07.03.2026;05:15 - 05:30;138,47
07.03.2026;05:30 - 05:45;139,09
07.03.2026;05:45 - 06:00;144,25
07.03.2026;06:00 - 06:15;140,58
07.03.2026;06:15 - 06:30;148,31
07.03.2026;06:30 - 06:45;151,08
07.03.2026;06:45 - 07:00;138,93
07.03.2026;07:00 - 07:15;155,23
07.03.2026;07:15 - 07:30;142,51
07.03.2026;07:30 - 07:45;135,24
07.03.2026;07:45 - 08:00;110,04
07.03.2026;08:00 - 08:15;141,91
07.03.2026;08:15 - 08:30;134,95
07.03.2026;08:30 - 08:45;120,18
07.03.2026;08:45 - 09:00;109,32
07.03.2026;09:00 - 09:15;8,05
07.03.2026;09:15 - 09:30;4,99
07.03.2026;09:30 - 09:45;2,97
07.03.2026;09:45 - 10:00;-5
07.03.2026;10:00 - 10:15;-5
07.03.2026;10:15 - 10:30;-6,26
07.03.2026;10:30 - 10:45;-5,01
07.03.2026;10:45 - 11:00;-5
07.03.2026;11:00 - 11:15;12,48
07.03.2026;11:15 - 11:30;4,9
07.03.2026;11:30 - 11:45;1,69
07.03.2026;11:45 - 12:00;0,85
07.03.2026;12:00 - 12:15;-4,78
07.03.2026;12:15 - 12:30;-5,01
07.03.2026;12:30 - 12:45;-5,01
07.03.2026;12:45 - 13:00;-5,01
07.03.2026;13:00 - 13:15;-1,82
07.03.2026;13:15 - 13:30;-0,52
07.03.2026;13:30 - 13:45;-0,01
07.03.2026;13:45 - 14:00;-0,01
07.03.2026;14:00 - 14:15;-0,38
07.03.2026;14:15 - 14:30;-1,47
07.03.2026;14:30 - 14:45;22,94
07.03.2026;14:45 - 15:00;34
07.03.2026;15:00 - 15:15;35
07.03.2026;15:15 - 15:30;81,26
07.03.2026;15:30 - 15:45;102,71
07.03.2026;15:45 - 16:00;136,39
07.03.2026;16:00 - 16:15;87,08
07.03.2026;16:15 - 16:30;124,49
07.03.2026;16:30 - 16:45;158
07.03.2026;16:45 - 17:00;178,6
07.03.2026;17:00 - 17:15;115,94
07.03.2026;17:15 - 17:30;124,93
07.03.2026;17:30 - 17:45;141,99
07.03.2026;17:45 - 18:00;177,27
07.03.2026;18:00 - 18:15;153,57
07.03.2026;18:15 - 18:30;161,25
07.03.2026;18:30 - 18:45;176,94
07.03.2026;18:45 - 19:00;171,88
07.03.2026;19:00 - 19:15;173,55
07.03.2026;19:15 - 19:30;162,95
07.03.2026;19:30 - 19:45;158,71
07.03.2026;19:45 - 20:00;146,98
07.03.2026;20:00 - 20:15;159,77
07.03.2026;20:15 - 20:30;153,91
07.03.2026;20:30 - 20:45;147,07
07.03.2026;20:45 - 21:00;140,06
07.03.2026;21:00 - 21:15;151,69
07.03.2026;21:15 - 21:30;146,63
07.03.2026;21:30 - 21:45;142,8
07.03.2026;21:45 - 22:00;133,68
